,phase_id,thermal_expansion,temperature
P1524133-5,15284.0,8.466666666666667,300.0
P1703292-4,7128.0,3.7999999999999994,130.0
P1703292-5,7128.0,8.6,200.0
P1703292-6,7128.0,14.433333333333334,226.0
P1703292-7,7128.0,14.633333333333333,300.0
P1706098-7,6597.0,7.433333333333333,300.0
P1708111-4,13605.0,3.7999999999999994,298.0
P1708112-3,84107.0,-54.0,120.0
P1708770-13,8411.0,-0.0006666666666666666,2.0
P1708770-14,8411.0,0.009,8.0
P1708770-15,8411.0,0.7766666666666666,20.0
P1708770-16,8411.0,4.266666666666667,50.0
P1708770-17,8411.0,8.306666666666665,100.0
P1708770-18,8411.0,13.85,283.0
P1712100-5,95425.0,15.41,505.5
P1712101-5,104958.0,10.396666666666665,1048.0
P1712806-11,33836.0,14.366666666666665,295.0
P1712806-12,33836.0,15.799999999999999,295.0
P1800127-2,13167.0,13.333333333333334,298.0
P1811325-7,10680.0,10.333333333333334,298.0
P1811326-7,85670.0,4.0,298.0
P1820529-4,51772.0,15.666666666666664,298.0
P1820530-4,76923.0,17.333333333333332,298.0
P1820532-2,97590.0,20.333333333333332,500.0
P1820577-8,15947.0,7.8999999999999995,298.0
P1821556-5,14652.0,14.5,500.0
P1822379-4,78607.0,8.1,298.0
P1900264-3,45697.0,23.33333333333333,298.0
P1901345-18,15904.0,1.2,25.0
P1901345-19,15904.0,6.2,100.0
P1901345-20,15904.0,8.333333333333334,175.0
P1903897-10,26506.0,10.0,298.0
P1903897-9,26506.0,2.333333333333333,298.0
P1903898-8,49967.0,4.0,298.0
P1903898-9,49967.0,9.0,298.0
P1903899-8,26652.0,1.0,298.0
P1903899-9,26652.0,10.0,298.0
P1906022-2,57472.0,10.666666666666666,298.0
P1906023-2,71625.0,15.666666666666664,298.0
P1906024-2,57465.0,12.999999999999998,298.0
P1906025-2,77539.0,13.999999999999998,298.0
P1906026-2,57464.0,15.333333333333332,298.0
P1906027-2,77538.0,17.333333333333332,298.0
P1906028-2,18591.0,13.999999999999998,298.0
P1906029-2,18590.0,22.333333333333332,298.0
P1906030-2,57466.0,12.333333333333332,298.0
P1906031-2,77537.0,11.666666666666664,298.0
P1906032-2,18679.0,18.0,298.0
P1906033-2,18678.0,21.666666666666664,298.0
P1906034-2,57463.0,12.666666666666666,298.0
P1906035-2,172782.0,16.666666666666668,298.0
P1906036-2,57462.0,12.999999999999998,298.0
P1906037-2,69671.0,18.666666666666664,298.0
P1906038-2,52994.0,15.0,298.0
P1906039-2,28148.0,18.333333333333332,298.0
P1906040-2,35301.0,13.999999999999998,298.0
P1906041-2,77535.0,21.666666666666664,298.0
P1906042-2,35303.0,12.999999999999998,298.0
P1906043-2,37323.0,19.0,298.0
P1907559-10,34388.0,16.666666666666668,20.0
P1907559-11,34388.0,-16.666666666666668,20.0
P1907559-12,34388.0,12.0,50.0
P1907559-13,34388.0,26.333333333333332,50.0
P1907559-14,34388.0,-8.0,85.0
P1907559-15,34388.0,-10.0,85.0
P1907559-16,34388.0,3.0,90.0
P1907559-17,34388.0,3.533333333333333,90.0
P1910682-8,17756.0,9.333333333333332,300.0
P1911325-6,13920.0,18.59,536.5
P1911327-5,88303.0,43.339999999999996,524.0
P1911406-5,9953.0,9.8582,673.0
P1911407-5,48147.0,10.73333333333333,385.5
P1911407-6,48147.0,11.066666666666666,435.5
P1911407-7,48147.0,12.366666666666665,1023.0
P1911407-8,48147.0,12.133333333333331,885.5
P1911408-4,81343.0,10.833333333333332,385.5
P1911408-5,81343.0,16.03333333333333,435.5
P1911409-3,48146.0,12.166666666666666,1023.0
P1912182-11,63656.0,0.7266666666666666,7.0
P1912182-12,63656.0,2.6166666666666663,21.5
P1912182-13,63656.0,0.7266666666666666,27.0
P1912182-14,63656.0,0.94,39.0
P1913321-13,32442.0,8.733333333333333,245.5
P1913322-10,96784.0,8.266666666666666,284.0
P1914917-2,74302.0,0.6666666666666666,335.5
P1914917-3,74302.0,7.133333333333332,623.0
P1915448-4,12736.0,10.6,785.5
P1915449-2,12734.0,9.066666666666666,785.5
P1915450-4,12735.0,6.133333333333333,785.5
P1915982-4,7151.0,13.999999999999998,300.0
P1915982-5,7151.0,24.999999999999996,1000.0
P1917502-1,6597.0,7.033333333333333,300.0
P1917502-2,6597.0,8.899999999999999,1873.0
P1921279-2,130688.0,-1.4333333333333333,443.0
P1921992-7,28085.0,4.233333333333333,82.5
P1922328-8,30787.0,8.1,260.0
P601465-5,6375.0,2.333333333333333,150.0
P601465-6,6375.0,4.133333333333333,250.0
P601617-4,6476.0,6.266666666666666,298.0
P601618-4,6476.0,4.166666666666667,298.0
P601619-5,33074.0,4.166666666666667,298.0
P601620-8,33074.0,7.666666666666666,30.0
P601621-6,33074.0,24.666666666666664,298.0
P606711-10,6123.0,7.2333333333333325,300.0
P606711-11,6123.0,8.299999999999999,500.0
P606711-12,6123.0,9.866666666666667,800.0
P606711-13,6123.0,11.533333333333333,1100.0
P606711-14,6123.0,13.766666666666666,1500.0
P606711-15,6123.0,15.533333333333333,1800.0
P606711-16,6123.0,16.7,2000.0
P606711-17,6123.0,18.5,2300.0
P606711-18,6123.0,19.7,2500.0
P800031-2,7279.0,9.36,297.0
P800296-3,13606.0,12.799999999999999,485.5
P800730-5,6133.0,5.5,298.0
P800730-6,6133.0,2.933333333333333,298.0
P800731-4,9227.0,10.366666666666665,298.0
P800731-5,9227.0,4.0,298.0
P800732-2,13174.0,10.399999999999999,298.0
